Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-12-17,Wake Up Dead Man,2025,https://boxd.it/c5ntHF,4,,"josh o’conner it seems i’ve grown extremely fond of you!

going into this i definitely expected this to be my least favorite of the knives out trilogy due to the underwhelming ensemble cast (not you kerry washington and glenn close) and that still kinda is true… but then the dead man started walking. 

i could watch daniel craig as benoit blanc forever so please make these movies forever, rian johnson!",,2025-12-16
2025-12-17,Materialists,2025,https://boxd.it/c5ra0Z,3,,"love is losing game for fools to play and lucy is kind of an idiot, but i’m choosing to stand with her at this time!

say YES to gender affirming surgery and NO to unnecessary sexual assault plot devices (surely there was an alternative for lucy to begin to question her role at her job and the validity of her relationship with harry).",,2025-12-17
2025-12-18,This Is Spinal Tap,1984,https://boxd.it/c5XszH,4,,"watching this and thinking “oh wow, i wonder how many mockumentaries existed before this” just to discover that this movie quite literally invented the medium, thank you rob reiner!

this movie is incredibly silly and the repeated dead drummer bit was my favorite.",,2025-12-17
2025-12-18,In the Mood for Love,2000,https://boxd.it/c62qsp,4.5,,"hate to point out the obvious, but everything about this was stunning.",,2025-12-17
2025-12-18,It Happened One Night,1934,https://boxd.it/c6gbix,3,,"it actually happened over the course of many nights, but this is truly the foundational text for romantic comedies. 

not a fan of the casual conversations or threats of physical abuse in some scenes but then again… this is a movie from 1934!

the scene of ellie as a runaway bride was gorgeous and her dad was so real for giving her an escape option in a wedding that never needed to happen. 

we were definitely robbed of seeing ellie and peter reuniting and sharing an actual kiss as a couple in love, but knowing clark gable had halitosis actually makes the ending so valid!",,2025-12-17
2025-12-19,Roofman,2025,https://boxd.it/c6JKsl,3,,"sweet movie but also slightly boring, which is a shame because channing tatum and kirsten dunst have great chemistry here. 

this being a real life story is just insane and ridiculous in the best way possible. 

i miss channing in movies, might be time for a 21 jump street rewatch",,2025-12-18
2025-12-19,American Hustle,2013,https://boxd.it/c6Ru99,3.5,,"this was secretly a “silver linings playbook” reunion and i appreciated that. 

jeremy renner’s mayor hair is an exact copy of the mayor from “cloudy with a chance of meatballs” and that’s all i thought about whenever he was on my screen. 

jennifer lawrence as rosalyn was my favorite thing about this very goofy movie.",,2025-12-18
2025-12-19,13 Going on 30,2004,https://boxd.it/c6X7g9,4.5,,"slowly rising to my top five favorite romcoms with every rewatch. 

the scene of matty giving jenna the dream house right before his wedding is what really makes this movie for me. 

the side characters are phenomenal and play their roles well, everybody really showed up to work in this movie!",,2025-12-18
2025-12-21,Wake Up Dead Man,2025,https://boxd.it/c8R1mV,4,Yes,rewatching to see all the hints dropped throughout the movie before we got to the big reveal… oh this is some real good food lois!,,2025-12-20
2025-12-21,Selena,1997,https://boxd.it/c9cdZR,4,Yes,"JLO baby we should’ve just stuck with the acting career after this, this is where you thrive!

i was so distracted by chris’ ponytail leave out throughout the entire movie, that was crazy. 

i hate yolanda with a burning passion.",,2025-12-20
2025-12-21,Tenet,2020,https://boxd.it/c9jchX,2.5,Yes,"that felt like an exam that i missed the review session for and got the exam date wrong. 

i felt vindicated for guessing that neil and the protagonist were fighting themselves at the airport and that was the only time i felt like i knew what was going on. 

“don’t try to understand it, feel it” well let’s just say i feel confused!",,2025-12-21
2025-12-23,One Battle After Another,2025,https://boxd.it/cba58T,3,Yes,"chase infiniti the world is yours! leading a movie where everyone delivers on all fronts and still being the best performance is amazing. 

the highway chase scene was my favorite part of this movie, that was incredible to watch. 

teyana taylor and regina hall should’ve been on my screen more, but they did a lot with what little they were given.",,2025-12-22
2025-12-23,The Untouchables,1987,https://boxd.it/cboiZp,3,Yes,"it’s very apparent that sean connery’s character will die the second he’s recruited to the team, so watching the rest of the movie is just a guessing game on when it would happen. this pays off because the actual scene of his death is ridiculous. 

it was so crazy to hear the slurs one group of white people used for another group of white people, like that’s your cousin!",,2025-12-22
2025-12-27,Eternals,2021,https://boxd.it/cfQBYx,3,,"ok so why isn’t there a sequel to this movie? or at least two?

the post credit scene having harry styles? girl ok",,2025-12-26
2025-12-27,Companion,2025,https://boxd.it/cfXPkv,3.5,,"that was fun and had i not remembered from the trailers that she was a robot, i think i could see myself being shocked at the reveal. 

i was very interested in seeing how the electric bottle opener would come into play and thankfully was not disappointed. 

the closing credits being the reason i learn “emotions” by destiny’s child is actually a cover.. this movie just keeps on giving!",,2025-12-26
2025-12-27,Uncut Gems,2019,https://boxd.it/cg637h,4,,"howard is the most annoying man in the world and every decision he made stressed me OUT. 

being business partners with either howard or demany would’ve driven me insane, i don’t know how two insane people fell into a partnership. 

kevin garnett’s performance was my favorite thing about this movie.",,2025-12-26
2025-12-29,Polite Society,2023,https://boxd.it/cieVpN,4,Yes,"the state of love, bonding, trust (for the most part)… REAL sisterhood!

this plot was absolutely insane in the best possible way. 
the action sequences were great and the way the fabrics moved during the fights was gorgeous. 

ria finally landing the kick when it mattered most and getting the stamp of approval from her idol, i love this crazy girl.",,2025-12-28
2025-12-29,Good Time,2017,https://boxd.it/ciDM89,2,,"knew i was in for a hard time when they committed a robbery with blackface rubber masks?? 

connie is a terrible person who made bad choice after worse choice after horrible choice — did he really have to go and make out with a 16 year old? (the answer is no)

nick deserved a better brother and will thrive without connie damaging him.",,2025-12-28
2025-12-31,Black Bag,2025,https://boxd.it/ckJfar,4,Yes,"real romance is being so in love with your spouse that everyone around you thinks that it’s a detriment to you and you double down on it. 

marisa abela should be on my screen more, she’s so funny in this.",,2025-12-30
2026-01-04,Zootopia 2,2025,https://boxd.it/cpXujV,4,Yes,"i looove gary de’snake and his overwhelming positivity. 

the power of friendship and judy and nick realizing they’re each other’s first real friends, that was adorable.",,2026-01-03
2026-01-26,We Live in Time,2024,https://boxd.it/cPXfIl,3,Yes,"oh so that was just lovingly sad.. i thought i was supposed to be watching a romcom?

florence pugh, i need to spend more time with you.",,2026-01-25
2026-02-13,Love Jones,1997,https://boxd.it/d6zMAT,4,,"decided to revisit this just in time for valentine’s day! 

i need to own every leather jacket that appeared in this movie. 

everything that happens in this movie after their first breakup (including the breakup) is a direct result of trying to be too cool to love someone, start loving LOUDLY!",,2026-02-12
2026-03-07,"Sorry, Baby",2025,https://boxd.it/dqguW5,4.5,,"so this was one of the most devastating and funny movies i’ve seen in some time. 

the sandwich scene and ending scene with baby jane had me in tears, just humanity at its finest. 

agnes deserves the world, and i’d like to think that one day they move out of that funky town and continues to be the successful professor they are. 

to my dear and personal close friend, eva victor, you are now on my client list. welcome!",,2026-03-06
2026-03-11,Hoppers,2026,https://boxd.it/dtlv9P,4.5,,"absolutely obsessed with the tiny crowns, the character design, and the way the animation style switches between the animals to show when we can understand them versus when we cannot. 

this is a really cute story and the kids in my theater definitely enjoyed it. 

the villain was actually horrifying and the last chapter of the movie really made “king” titus an all-time pixar villain in my eyes. 

like king george says, we’re all in this together!",,2026-03-10
2026-04-03,Crime 101,2026,https://boxd.it/dNEf9x,3,,"bring back random action movies with a star studded cast, this was great (not really, but halle berry is in it so it’s great)!

barry keogan plays crazy a little too well for my liking… we have to watch out for him!

chris hemsworth is always thor to me in any movie i watch with him in it. BUT, he was only slightly less thor in this one… so good for him!",,2026-04-02
2026-04-04,The Drama,2026,https://boxd.it/dOLuRd,4,,"thankfully i was in a theater that saw this as the dark comedy that it is and we were laughing loud. zendaya you’ll never do any wrong in my eyes so i’m glad that her character (emma) wasn’t the actual villain in this movie. 

i’m sorry but we can’t live in WHAT IFS, every other character actually did the action that was their claimed “worst thing” except for emma. 

by the end of it, emma’s empathy really showed through and charlie will have to spend the rest of his life making up for doing the actual worst thing thing that he’s ever done. 

EYE felt the chemistry between zendaya and robert pattinson, these reviews are confusing me!",,2026-04-03
2026-04-06,All the President's Men,1976,https://boxd.it/dQW1UR,4,Yes,"i LOVE a good journalist procedural movie and i wouldn’t be surprised to learn if this one was the big momma. 

i looked up what the actual bob woodward looked like and he’s sooo real for having robert redford portray him in this movie, God bless him!

i’ve always thought this, but i still can’t believe the biggest scandal in the nation at the time relied on an informant called “deep throat”… like that’s just so silly.",,2026-04-05
2026-04-06,Past Lives,2023,https://boxd.it/dR36ol,4,Yes,"so this is just a ridiculously shot movie, every single frame is beautiful. 

shoutout to arthur for being the most understanding husband of all time, because the scene of nora and hae sung having that sweet conversation in front of him was crazy (complimentary). 

i remember when this movie first came out, a lot of people were talking about how romantic the scene of nora and arthur in bed together was. but i raise you hae sung saying “see you then” to nora before getting in taxi and driving out of her life permanently. that’s a yearner!",,2026-04-05
2026-04-08,No Reservations,2007,https://boxd.it/dT5yHd,3,,"chemistry between the leads was insaneee, that’s the perfect foundation for a C+ romantic drama and that’s exactly what this movie is. i loved it!",,2026-04-07
2026-04-11,"You, Me & Tuscany",2026,https://boxd.it/dVnjrj,3,,"this was FUN! i love how everybody in the family didn’t care about mateo’s feelings even when they thought he and anna were really together, that’s real!

halle and rege are so cute together, i loved that last scene!",,2026-04-10
